lookback,n_long,n_short,rebalance,sharpe,total_return,max_dd
21,2,2,3,1.2271724555452816,11.785491754580779,-0.5665555959569804
21,2,2,6,0.9992519243199156,5.901031689407224,-0.5765586870244479
21,2,2,12,1.2211359500234438,10.750987100633251,-0.47176009957750076
21,2,3,3,0.8130955960098407,2.445955642540047,-0.38764911733845653
21,2,3,6,0.27323665709674355,0.15144277236087822,-0.4943822242410034
21,2,3,12,0.5582810399879066,1.0420837250356576,-0.5464191471262103
21,2,5,3,0.17120760049236508,-0.009839337610958343,-0.46560769338869357
21,2,5,6,-0.14017576106895982,-0.43200482791820805,-0.5719187226441371
21,2,5,12,-0.1381035460942259,-0.42453989034855333,-0.642618378399181
21,3,2,3,1.7517232740362367,21.047640662202788,-0.4327487866567705
21,3,2,6,1.3333730068491627,8.413304532991472,-0.45139913173412105
21,3,2,12,1.4141275428463564,9.544975438316424,-0.37305184463766106
21,3,3,3,1.4699688470181282,12.035054572951925,-0.4388494348130988
21,3,3,6,0.7149738471090683,1.823785159338347,-0.4407051092942974
21,3,3,12,0.8934745642532573,2.9560238132220364,-0.5262949878784626
21,3,5,3,0.6936366429803488,1.3222507066146254,-0.2667650087185516
21,3,5,6,0.18509102447466544,0.04179042951521539,-0.4373056142788072
21,3,5,12,0.09519959923316854,-0.0926512395192205,-0.5521949754534585
21,5,2,3,1.7010216702573564,12.746192685375892,-0.4645954465904659
21,5,2,6,1.5166929499883521,8.934374854008958,-0.42482898909457467
21,5,2,12,1.3933155754401851,6.878332793541348,-0.4161984289036652
21,5,3,3,1.7016392264518876,9.666201740318598,-0.4099649221740779
21,5,3,6,1.2258019030406746,4.123427913492541,-0.35789342477505937
21,5,3,12,1.165364865447022,3.5915387876091014,-0.3673190155374715
21,5,5,3,1.2671391044427742,3.955500053078776,-0.32915816929223196
21,5,5,6,0.7996095914259534,1.552360130818418,-0.2966824690467683
21,5,5,12,0.46890561621611565,0.5863798020084443,-0.45755740604974693
42,2,2,3,1.6283016809269468,33.74193368185273,-0.4162447332075184
42,2,2,6,1.6635262579429242,36.00477702854416,-0.4261420785751888
42,2,2,12,1.1413335115896108,8.512680337275523,-0.4486057455531345
42,2,3,3,0.9640368903542549,3.5429686857853477,-0.3141761594797917
42,2,3,6,0.9967836021952228,3.7723703717579244,-0.3927738806408684
42,2,3,12,0.6347581948187246,1.335871056426933,-0.3726059464032361
42,2,5,3,0.3649305738642143,0.392363815295687,-0.417567235554689
42,2,5,6,0.38457291901754537,0.4395006277181175,-0.38662931693182245
42,2,5,12,0.0790759428122071,-0.14229310460102074,-0.5134231876180841
42,3,2,3,1.8854975972912853,27.757098697911932,-0.3780505313227447
42,3,2,6,2.115242988131116,43.53361431223316,-0.33749202827887337
42,3,2,12,1.858983551881218,25.378253286466432,-0.3980051724706547
