symbol,timeframe,bars,lookback,n_trades,trades_per_year,sharpe_gross,sharpe_net,edge_per_trade_bps,cost_drag_pct
BTCUSDT,4h,1104,42,38,75.79234972677595,1.9472623811291012,1.7429673512498574,98.74282356938376,7.579234972677596
BTCUSDT,1h,4416,168,81,161.55737704918033,1.2297534124234588,0.8119816531709254,25.772548184830466,16.15573770491803
BTCUSDT,15m,17664,672,166,331.09289617486337,1.1152884181700702,0.24923674905308674,10.683613046642284,33.10928961748634
BTCUSDT,5m,52992,2016,269,536.5300546448087,1.1198809805200527,-0.2709317764468491,6.81354474390837,53.65300546448088
BTCUSDT,1m,264960,10080,629,1254.5628415300546,1.0458440697245877,-2.1517039418267663,4.118199090549404,125.45628415300546
ETHUSDT,4h,1104,42,36,71.80327868852459,0.979539498226368,0.8031627979472052,46.22207500256424,7.1803278688524586
ETHUSDT,1h,4416,168,73,145.60109289617486,0.25072683790256484,-0.09449903382598202,1.4636305634066515,14.560109289617484
ETHUSDT,15m,17664,672,149,297.1857923497268,0.4807860491161156,-0.2275813296366147,4.113446832545501,29.71857923497268
ETHUSDT,5m,52992,2016,264,526.5573770491803,0.8967201114096877,-0.30871224412595083,5.875290718319216,52.65573770491803
ETHUSDT,1m,264960,10080,607,1210.6830601092897,0.762818780337001,-2.0106077773408835,3.6405582794016182,121.06830601092898
