lookback,n_long,n_short,rebalance,total_return,cagr,sharpe,sortino,max_drawdown,calmar
14,2,2,3,-0.43794643058079397,-0.28374398034482207,-0.7618517747963319,-0.9407518604601788,-0.6489605114332063,-0.43722842198546646
14,2,2,6,-0.26742102146650615,-0.1649315082055952,-0.34122807168231395,-0.4346044560007967,-0.5583319464748343,-0.29540044994188625
14,2,2,12,0.5815870482601118,0.304118580024183,0.9473724010459305,1.244617636389541,-0.365869437694753,0.8312216017286225
14,2,3,3,-0.3520037900729437,-0.222213251644381,-0.6628036625957883,-0.8648058084431715,-0.5350546283957021,-0.41530946533564456
14,2,3,6,-0.056484943343259375,-0.03311632842657142,0.03982945641606974,0.054602994120999455,-0.4365245484772071,-0.07586361074559492
14,2,3,12,0.7289764339747715,0.37318878893234686,1.2098485880685226,1.70978501497523,-0.28269173315025975,1.3201262901238962
14,2,5,3,-0.3140146003736425,-0.19611923964678446,-0.694914488669929,-0.9348336602920272,-0.4771248403444196,-0.4110438674817536
14,2,5,6,-0.14776847763256662,-0.08845495311099516,-0.22426630275467982,-0.31526805519908657,-0.3629778954376339,-0.24369239621147482
14,2,5,12,0.16187390087901532,0.09078928386797869,0.4613868028177983,0.6647729224042412,-0.2675213991272314,0.33937204337362153
14,3,2,3,-0.37082396514599125,-0.23537858409765489,-0.6217114987646256,-0.750842987971438,-0.6215075152429319,-0.37872202398976823
14,3,2,6,-0.14598377935092544,-0.08734977675872402,-0.11476713015949887,-0.1432177368797126,-0.5198708112115065,-0.168022083323286
14,3,2,12,0.823054846867608,0.41598383833420916,1.2476510586322116,1.589878097411197,-0.36173896293985264,1.1499558547785629
14,3,3,3,-0.27423432215210286,-0.16943879687262065,-0.5006626284185628,-0.6361348756301538,-0.49836765287857177,-0.3399875491395601
14,3,3,6,0.09948497487734942,0.05647039113731567,0.3367759728534169,0.4530819425831714,-0.38512052501147975,0.14663043766787653
14,3,3,12,0.9923323774571531,0.49071251463796806,1.594376402718594,2.1830146208161754,-0.27429326280343924,1.7890068083429982
14,3,5,3,-0.23213749646912507,-0.1418665697380017,-0.5109475412608859,-0.6672245190660595,-0.436010243601354,-0.32537439617522135
14,3,5,6,-0.007550487296210884,-0.004380304040299654,0.09826434705958534,0.13556080952728697,-0.3237659608612604,-0.013529229659126191
14,3,5,12,0.33827490016656214,0.1838496663650384,0.8338738880358916,1.1657869608286127,-0.2650673577018018,0.6935960276627781
14,5,2,3,-0.3686475206966018,-0.23384769533612115,-0.6657692895878411,-0.7956541070944995,-0.6085175249623024,-0.3842908145506705
14,5,2,6,-0.17246102054111523,-0.10384712666046858,-0.19986873080051143,-0.24526530452564008,-0.526937716641735,-0.19707666272648736
14,5,2,12,0.5616892341321826,0.294590142065176,1.0080026900703503,1.2520980718330315,-0.36260089559240827,0.8124363332966456
14,5,3,3,-0.27196619613325457,-0.16793636562812453,-0.5506920665865807,-0.6857383756408245,-0.48127688433307625,-0.34893918884311337
14,5,3,6,0.06472838117912905,0.0369959338300605,0.2700728579729888,0.35462876908917323,-0.39772503674199444,0.09301887085891423
14,5,3,12,0.7063368183403851,0.36274519603350375,1.3525340160724326,1.7782396506070548,-0.2790676932931838,1.2998466133892816
14,5,5,3,-0.230142652223853,-0.14057600249544144,-0.5792421339489209,-0.7346647920536086,-0.41728989585962717,-0.33687851992162793
14,5,5,6,-0.03960901354488755,-0.023136872032733846,-0.005485103562517556,-0.007290369237285175,-0.3330554812899551,-0.06946852201057485
14,5,5,12,0.14545486838197985,0.08183429852593571,0.4772450831755468,0.6344934596384484,-0.28294395202899036,0.28922441331260895
21,2,2,3,-0.03789897899475381,-0.022129788775340664,0.10838862270832732,0.13861755529333608,-0.5315827984295503,-0.04162999412456249
21,2,2,6,-0.03237707840351689,-0.0188829311900508,0.1107697039510257,0.14374146077826502,-0.48236324127570007,-0.03914670433864601
21,2,2,12,0.14185327492106437,0.0798627724611718,0.3980533882412473,0.513737907560462,-0.4547487837064954,0.1756195405521237
21,2,3,3,-0.057991632678617844,-0.034010935939855824,0.03224439485722917,0.04476507187980665,-0.5016732896164002,-0.0677949905721749
21,2,3,6,-0.03425326558096187,-0.019985245842872312,0.07533646849561033,0.10410602957096174,-0.4548102242005787,-0.04394194496836662
21,2,3,12,0.18633186484569597,0.10403059252622548,0.4847460548252761,0.6806829972857151,-0.4007318002153626,0.25960154015807335
21,2,5,3,-0.04440941775447649,-0.025967993142288592,0.027590971701974252,0.04025565377788958,-0.46529339485318333,-0.05580993289294902
21,2,5,6,0.03332547959597365,0.01916926731027102,0.200742447152648,0.29454506034780037,-0.407011663339788,0.047097587211568
21,2,5,12,0.19627149986523373,0.10937893950003708,0.5359396606185765,0.807203807066971,-0.3308244347200828,0.33062533483231005
